title,details,link
Coloboma of optic nerve,Other names: Congenital coloboma of the optic nerve;  Optic nerve coloboma;  Optic nerve head pits;  bilateral congenital,diseases/8502/coloboma-of-optic-nerve
Coloboma of optic papilla,,diseases/1438/coloboma-of-optic-papilla
Coloboma porencephaly hydronephrosis,,diseases/1439/coloboma-porencephaly-hydronephrosis
Colobomata unilobar lung heart defect,,diseases/1442/colobomata-unilobar-lung-heart-defect
Colonic atresia,,diseases/1446/colonic-atresia
Colonic malakoplakia,,diseases/6137/colonic-malakoplakia
Colpocephaly,,diseases/10008/colpocephaly
Colver Steer Godman syndrome,,diseases/1448/colver-steer-godman-syndrome
Combarros Calleja Leno syndrome,,diseases/1449/combarros-calleja-leno-syndrome
Combined immunodeficiency due to partial RAG1 deficiency,Other names: Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion;  severe cytomegalovirus infection;  and autoimmunity;  CID due to partial RAG1 deficiency;  CID with expansion of gamma delta T cells;  Combined immunodeficiency with expansion of gamma delta T cells,diseases/13712/combined-immunodeficiency-due-to-partial-rag1-deficiency
Combined immunodeficiency with skin granulomas,Other names: CID due to RAG 1/2 deficiency;  Combined cellular and humoral immune defects with granulomas;  Combined immunodeficiency due to RAG 1/2 deficiency;  Combined immunodeficiency with granulomatosis,diseases/13587/combined-immunodeficiency-with-skin-granulomas
Combined malonic and methylmalonic aciduria,Other names: CMAMMA,diseases/10818/combined-malonic-and-methylmalonic-aciduria
Combined oxidative phosphorylation deficiency,,diseases/12893/combined-oxidative-phosphorylation-deficiency
Combined oxidative phosphorylation deficiency 16,Other names: Combined oxidative phosphorylation defect type 16;  COXPD16;  Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency,diseases/12892/combined-oxidative-phosphorylation-deficiency-16
"Combined pituitary hormone deficiencies, genetic forms",Other names: Familial congenital hypopituitarism;  Multiple pituitary hormone deficiencies;  genetic forms,diseases/10602/combined-pituitary-hormone-deficiencies-genetic-forms
Common variable immunodeficiency,Other names: Common variable hypogamma-globulinemia;  Common variable immune deficiency;  CVID;  Hypogamma-globulinemia;  acquired;  Idiopathic immunoglobulin deficiency;  Immunoglobulin deficiency;  late-onset;  Primary antibody deficiency;  Primary hypogammaglobulinemia,diseases/6140/common-variable-immunodeficiency
Compartment syndrome,,diseases/6141/compartment-syndrome
Complement component 2 deficiency,,diseases/1452/complement-component-2-deficiency
Complement component 5 deficiency,,diseases/2191/complement-component-5-deficiency
Complement component 8 deficiency type 1,Other names: C8 alpha-gamma deficiency;  C8 deficiency type I;  C81 deficiency;  Complement component 8 deficiency type I,diseases/10626/complement-component-8-deficiency-type-1
Complement component 8 deficiency type 2,Other names: C8 beta deficiency;  C8 deficiency type II;  Complement component 8 deficiency type II;  Human complement C8-beta deficiency,diseases/10625/complement-component-8-deficiency-type-2
Complement component deficiency,,diseases/9526/complement-component-deficiency
Complement component receptor 1,,diseases/1453/complement-component-receptor-1
Complement receptor deficiency,,diseases/9527/complement-receptor-deficiency
Complete androgen insensitivity syndrome,Other names: Androgen insensitivity syndrome;  complete;  CAIS,diseases/10597/complete-androgen-insensitivity-syndrome
Complete atrioventricular canal,Other names: CAVC;  Common atrioventricular canal;  Complete atrioventricular septal defect,diseases/1454/complete-atrioventricular-canal
Complex regional pain syndrome,Other names: CRPS;  Reflex sympathetic dystrophy,diseases/4647/complex-regional-pain-syndrome
Condensing osteitis of the clavicle,Other names: Condensing osteitis of the medial clavicle,diseases/10910/condensing-osteitis-of-the-clavicle
Condrodisplasia punctata rizomélica,,diseases/13322/condrodisplasia-punctata-rizomlica
Conductive deafness with malformed external ear,Other names: Conductive deafness - malformed external ear;  Conductive hearing loss and malformed low-set ears;  Ear deformity and conductive hearing loss;  Familial congenital moderate neural hearing loss;  Mengel-Konigsmark syndrome,diseases/1460/conductive-deafness-with-malformed-external-ear
Cone dystrophy,,diseases/11897/cone-dystrophy
Cone dystrophy X-linked with tapetal-like sheen,Other names: X-linked recessive cone dystrophy with tapetal-like sheen,diseases/10119/cone-dystrophy-x-linked-with-tapetal-like-sheen
Cone-rod dystrophy,,diseases/10790/cone-rod-dystrophy
Cone-rod dystrophy 1,Other names: CORD1,diseases/10651/cone-rod-dystrophy-1
Cone-rod dystrophy 2,Other names: Cone-rod retinal dystrophy 2;  CORD2;  CRD2;  RCRD2;  Retinal cone-rod dystrophy 2,diseases/6145/cone-rod-dystrophy-2
Cone-rod dystrophy 3,Other names: CORD3,diseases/10653/cone-rod-dystrophy-3
Cone-rod dystrophy 5,Other names: CORD5,diseases/10655/cone-rod-dystrophy-5
Cone-rod dystrophy 6,,diseases/10656/cone-rod-dystrophy-6
Cone-rod dystrophy amelogenesis imperfecta,Other names: Cone-rod dystrophy with amelogenesis imperfecta;  Jalili syndrome,diseases/1463/cone-rod-dystrophy-amelogenesis-imperfecta
Cone-rod dystrophy X-linked 1,Other names: COD1;  Cone dystrophy X-linked 1;  CORDX1,diseases/10652/cone-rod-dystrophy-x-linked-1
Cone-rod dystrophy X-linked 2,Other names: COD2;  Cone dystrophy X-linked 2;  CORDX2,diseases/1462/cone-rod-dystrophy-x-linked-2
Cone-rod dystrophy X-linked 3,Other names: CORDX3,diseases/10654/cone-rod-dystrophy-x-linked-3
Congenital absence of the sternocleidomastoid muscle,,diseases/9972/congenital-absence-of-the-sternocleidomastoid-muscle
Congenital adrenal hyperplasia,Other names: CAH,diseases/1467/congenital-adrenal-hyperplasia
Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,Other names: ADRENAL HYPERPLASIA;  CONGENITAL;  DUE TO CYTOCHROME P450 OXIDOREDUCTASE DEFICIENCY;  Congenital adrenal hyperplasia due to cytochrome POR deficiency;  Disordered steroidogenesis due to cytochrome P450 oxidoreductase ;  DISORDERED STEROIDOGENESIS DUE TO POR DEFICIENCY;  POR deficiency;  PORD,diseases/12664/congenital-adrenal-hyperplasia-due-to-cytochrome-p450-oxidoreductase-deficiency
Congenital amegakaryocytic thrombocytopenia,Other names: CAMT;  Thrombocytopenia congenital amegakaryocytic,diseases/640/congenital-amegakaryocytic-thrombocytopenia
Congenital amputation,,diseases/1471/congenital-amputation
Congenital analbuminemia,Other names: ANALBA;  Analbuminemia,diseases/13056/congenital-analbuminemia
Congenital aneurysms of the great vessels,,diseases/1472/congenital-aneurysms-of-the-great-vessels
Congenital anosmia,Other names: ANIC;  Isolated congenital anosmia,diseases/9486/congenital-anosmia
Congenital aplastic anemia,,diseases/6149/congenital-aplastic-anemia
Congenital arteriovenous shunt,,diseases/6150/congenital-arteriovenous-shunt
Congenital articular rigidity,,diseases/1473/congenital-articular-rigidity
Congenital benign spinal muscular atrophy dominant,,diseases/1474/congenital-benign-spinal-muscular-atrophy-dominant
Congenital bilateral absence of the vas deferens,Other names: CAVD;  CBAVD;  Congenital bilateral aplasia of vas deferens,diseases/5461/congenital-bilateral-absence-of-the-vas-deferens
"Congenital bile acid synthesis defect, type 1",Other names: 3-alpha beta-hydroxy-delta-5-c27-steroid oxidoreductase;  deficiency of;  3-beta-hydroxy-delta-5-C27-steroid oxidoreductase deficiency;  BASD1;  CBAS1;  Congenital bile acid synthesis defect type 1,diseases/9813/congenital-bile-acid-synthesis-defect-type-1
"Congenital bile acid synthesis defect, type 2",Other names: CBAS2;  Cholestasis with delta(4)-3-oxosteroid 5-beta-reductase deficiency,diseases/10045/congenital-bile-acid-synthesis-defect-type-2
Congenital bronchobiliary fistula,,diseases/1475/congenital-bronchobiliary-fistula
Congenital cardiovascular shunt,,diseases/6154/congenital-cardiovascular-shunt
Congenital central hypoventilation syndrome,Other names: CCHS;  Congenital failure of autonomic control;  Congenital Ondine curse;  Idiopathic congenital central alveolar hypoventilation;  Ondine curse (formerly);  Ondine's curse (formerly);  Primary alveolar hypoventilation,diseases/8535/congenital-central-hypoventilation-syndrome
Congenital chloride diarrhea,Other names: Chloridorrhea;  congenital;  CLD;  Congenital chloridorrhea;  Darrow-Gamble disease;  DIAR1;  Diarrhea 1;  secretory chloride;  congenital;  Familial chloride diarrhea,diseases/10001/congenital-chloride-diarrhea
Congenital contractural arachnodactyly,Other names: Arachnodactyly;  contractural Beals type;  Beals syndrome;  Beals-Hecht syndrome;  CCA;  Contractures;  multiple with arachnodactyly;  Distal arthrogryposis type 9;  Ear anomalies-contractures-dysplasia of bone with kyphoscoliosis,diseases/5899/congenital-contractural-arachnodactyly
Congenital contractures,,diseases/1477/congenital-contractures
Congenital craniosynostosis maternal hyperthyroiditis,,diseases/1478/congenital-craniosynostosis-maternal-hyperthyroiditis
Congenital cystic eye,Other names: CCE,diseases/10617/congenital-cystic-eye
Congenital cystic eye multiple ocular and intracranial anomalies,,diseases/1479/congenital-cystic-eye-multiple-ocular-and-intracranial-anomalies
Congenital cytomegalovirus,,diseases/1480/congenital-cytomegalovirus
Congenital deafness with vitiligo and achalasia,Other names: Deafness vitiligo achalasia,diseases/1705/congenital-deafness-with-vitiligo-and-achalasia
Congenital diaphragmatic hernia,Other names: Agenesis of hemidiaphragm;  CDH;  Congenital diaphragmatic defect;  Unilateral agenesis of diaphragm,diseases/1481/congenital-diaphragmatic-hernia
Congenital dislocation of the patella,Other names: Congenital patellar dislocation,diseases/9692/congenital-dislocation-of-the-patella
Congenital disorder of glycosylation type I/IIX,Other names: CDG X,diseases/9840/congenital-disorder-of-glycosylation-type-iiix
Congenital disorders of glycosylation,Other names: Carbohydrate-deficient glycoprotein syndromes;  CDG;  Congenital disorder of glycosylation,diseases/10307/congenital-disorders-of-glycosylation
Congenital dyserythropoietic anemia,Other names: Dyserythropoietic anemia;  congenital,diseases/1999/congenital-dyserythropoietic-anemia
Congenital dyserythropoietic anemia type 1,Other names: Anemia;  dyserythropoietic;  congenital type 1;  CDA I;  Dyserythropoietic anemia;  congenital type 1;  Type I congenital dyserythropoietic anemia,diseases/2000/congenital-dyserythropoietic-anemia-type-1
Congenital dyserythropoietic anemia type 2,Other names: Anemia;  dyserythropoietic;  congenital type 2;  CDA II;  CDA type II;  CDAN2;  Congenital dyserythropoietic anemia type II;  Dyserythropoietic anemia;  HEMPAS type;  HEMPAS anemia;  Hereditary erythroblastic multinuclearity with a positive acidified-serum test (hempas);  Hereditary Erythroblastic Multinuclearity with Positive Acidified-Serum test;  SEC23B-CDG,diseases/2001/congenital-dyserythropoietic-anemia-type-2
Congenital dyserythropoietic anemia type 3,Other names: CDA III;  Dyserythropoietic anemia;  congenital type 3,diseases/2002/congenital-dyserythropoietic-anemia-type-3
Congenital ectodermal dysplasia with hearing loss,Other names: Hidrotic ectodermal dysplasia;  sensorineural hearing loss and contracture of the fifth fingers;  Mikaelian syndrome,diseases/9723/congenital-ectodermal-dysplasia-with-hearing-loss
Congenital erythropoietic porphyria,Other names: CEP;  Congenital porphyria;  Günther disease;  Porphyria;  congenital erythropoietic;  Uroporphyrinogen III synthase;  deficiency of;  UROS deficiency,diseases/4446/congenital-erythropoietic-porphyria
Congenital extrahepatic portosystemic shunt,Other names: Abernethy malformation;  CEPS,diseases/10908/congenital-extrahepatic-portosystemic-shunt
Congenital femoral deficiency,Other names: Congenital short femur (subtype);  Proximal femoral focal deficiency (subtype),diseases/1503/congenital-femoral-deficiency
Congenital fiber type disproportion,Other names: CFTDM;  Congenital fiber-type disproportion myopathy;  Fiber-type disproportion myopathy;  congenital;  Myopathy;  congenital with fiber-type disproportion,diseases/6161/congenital-fiber-type-disproportion
Congenital fibrosis of extraocular muscles,Other names: FEOM,diseases/12590/congenital-fibrosis-of-extraocular-muscles
Congenital generalized lipodystrophy,Other names: Beradinelli-Seip syndrome;  Berardinelli-Seip congenital lipodystrophy;  Brunzell syndrome;  BSCL;  GCL;  Generalized congenital lipodystrophy;  Lipoatrophic diabetes,diseases/13388/congenital-generalized-lipodystrophy
Congenital generalized lipodystrophy type 1,Other names: AGPAT2-related Brunzell syndrome;  Berardinelli-Seip congenital lipodystrophy type 1;  BSCL1,diseases/84/congenital-generalized-lipodystrophy-type-1
Congenital generalized lipodystrophy type 3,Other names: Type 3 Berardinelli-Seip congenital lipodystrophy,diseases/13389/congenital-generalized-lipodystrophy-type-3
Congenital generalized lipodystrophy type 4,Other names: Berardinelli-Seip congenital lipodystrophy;  type 4;  with muscular dystrophy;  CGL4;  GCL4;  Generalized congenital lipodystrophy with myopathy;  Lipodystrophy;  Berardinelli-Seip congenital;  type 4;  with muscular dystrophy;  Lipodystrophy;  congenital generalized;  type 4,diseases/10937/congenital-generalized-lipodystrophy-type-4
Congenital giant megaureter,Other names: CGM,diseases/219/congenital-giant-megaureter
Congenital heart block,Other names: Heart block congenital,diseases/6164/congenital-heart-block
Congenital heart disease ptosis hypodontia craniostosis,,diseases/1483/congenital-heart-disease-ptosis-hypodontia-craniostosis
Congenital hemolytic anemia,Other names: Anemia hemolytic congenital,diseases/6167/congenital-hemolytic-anemia
Congenital hepatic fibrosis,,diseases/6168/congenital-hepatic-fibrosis
Congenital herpes simplex,Other names: Antenatal herpes simplex virus infection;  Congenital herpes simplex virus infection;  Mother-to-child transmission of herpes simplex virus infection,diseases/1486/congenital-herpes-simplex
Congenital human immunodeficiency virus,Other names: Congenital HIV;  Neonatal HIV;  Neonatal human immunodeficiency virus,diseases/10328/congenital-human-immunodeficiency-virus
Congenital hydrocephalus,Other names: Hydrocephalus;  Hydrocephaly;  Ventriculomegaly,diseases/6682/congenital-hydrocephalus
Congenital hyperinsulinism,Other names: CHI;  Congenital isolated hyperinsulinism;  Familial hyperinsulinism;  Hyperinsulinemic hypoglycemia due to focal adenomatous hyperplasia;  Hyperinsulinemic hypoglycemia familial;  Hyperinsulinism congenital;  Hyperinsulinism familial with pancreatic nesidioblastosis;  Hypoglycemia hyperinsulinemic of infancy;  Nesidioblastosis of pancreas;  Persistent hyperinsulinemic hypoglycemia of infancy;  PHHI,diseases/3947/congenital-hyperinsulinism
Congenital hypopituitarism,,diseases/2252/congenital-hypopituitarism
Congenital hypothyroidism,Other names: Neonatal hypothyroidism,diseases/1487/congenital-hypothyroidism
Congenital hypotrichosis milia,,diseases/1488/congenital-hypotrichosis-milia
Congenital insensitivity to pain,Other names: Channelopathy-associated CIP;  Channelopathy-associated congenital insensitivity to pain,diseases/12267/congenital-insensitivity-to-pain
Congenital insensitivity to pain with anhidrosis,Other names: CIPA;  Familial dysautonomia;  type 2;  Familial dysautonomia;  type II;  Hereditary sensory and autonomic neuropathy 4;  Hereditary sensory neuropathy type IV;  HSAN 4;  HSAN IV;  HSNAN4;  Insensitivity to pain;  congenital;  with anhidrosis;  Neuropathy;  congenital sensory;  with anhidrosis,diseases/3006/congenital-insensitivity-to-pain-with-anhidrosis
Congenital intrauterine infection-like syndrome,Other names: Band-like calcification with simplified gyration and polymicrogyria ;  Baraitser-Brett-Piesowicz syndrome;  Baraitser-Reardon syndrome;  Bilateral band-like calcification with polymicrogyria;  BLC-PMG;  BLCPMG ;  Microcephaly - intracranial calcification - intellectual disability;  Microcephaly-intracranial calcification-intellectual disability syndrome;  Pseudo-TORCH syndrome,diseases/12426/congenital-intrauterine-infection-like-syndrome
Congenital laryngeal palsy,Other names: Congenital vocal cord paralysis,diseases/12713/congenital-laryngeal-palsy
Congenital lipoid adrenal hyperplasia,Other names: CLAH;  Congenital adrenal hyperplasia lipoid;  Congenital lipoid adrenal hyperplasia due to STAR deficency;  Lipoid CAH;  Lipoid congenital adrenal hyperplasia,diseases/1465/congenital-lipoid-adrenal-hyperplasia
Congenital lobar emphysema,Other names: CLE;  Emphysema;  congenital lobar,diseases/2104/congenital-lobar-emphysema
Congenital lymphedema,,diseases/3328/congenital-lymphedema
Congenital megalo-ureter,,diseases/1492/congenital-megalo-ureter
Congenital mesoblastic nephroma,,diseases/1493/congenital-mesoblastic-nephroma
Congenital microcoria,Other names: Congenital miosis;  MCOR;  Microcoria;  congenital;  Miosis;  congenital;  Pinhole pupils,diseases/3635/congenital-microcoria
Congenital mirror movement disorder,Other names: Bimanual synergia;  Bimanual synkinesis;  CMM;  Congenital mirror movements;  Familial congenital controlateral synkinesia;  Familial congenital mirror movements;  Hereditary congenital controlateral synkinesia;  Hereditary congenital mirror movements;  Isolated congenital controlateral synkinesia;  Isolated congenital mirror movements;  Mirror movements,diseases/12551/congenital-mirror-movement-disorder
Congenital mitral malformation,,diseases/1495/congenital-mitral-malformation
Congenital mitral stenosis,,diseases/1496/congenital-mitral-stenosis
Congenital mumps,,diseases/1498/congenital-mumps
Congenital muscular dystrophy,Other names: CMD;  Congenital MD;  MDC,diseases/9138/congenital-muscular-dystrophy
Congenital muscular dystrophy type 1A,Other names: LAMA2-related muscular dystrophy;  Laminin alpha-2 deficiency;  MDC1A;  Merosin-deficient congenital muscular dystrophy;  Merosin-negative congenital muscular dystrophy;  Muscular dystrophy;  congenital;  merosin-deficient,diseases/3843/congenital-muscular-dystrophy-type-1a
Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,Other names: Benign muscular dystrophy with hypergonadotrophic hypogonadism and congenital cataract,diseases/835/congenital-muscular-dystrophy-infantile-cataract-hypogonadism-syndrome
Congenital myasthenic syndrome associated with acetylcholine receptor deficiency,Other names: Myasthenic syndrome;  congenital;  associated with acetylcholine receptor deficiency,diseases/10108/congenital-myasthenic-syndrome-associated-with-acetylcholine-receptor-deficiency
Congenital myasthenic syndromes,Other names: CMS;  Congenital Myasthenia,diseases/11902/congenital-myasthenic-syndromes
Congenital myotonic dystrophy,,diseases/9134/congenital-myotonic-dystrophy
Congenital myxovirus,,diseases/1497/congenital-myxovirus
Congenital nephrotic syndrome Finnish type,Other names: CNF;  Congenital nephrotic syndrome 1;  Finnish congenital nephrosis;  Nephrosis 1;  congenital;  Finnish type;  Nephrosis;  congenital;  NPHS1,diseases/1500/congenital-nephrotic-syndrome-finnish-type
Congenital nonhemolytic jaundice,,diseases/6177/congenital-nonhemolytic-jaundice
Congenital primary aphakia,Other names: Aphakia;  congenital primary;  CPA,diseases/9952/congenital-primary-aphakia
Congenital pseudoarthrosis,,diseases/9722/congenital-pseudoarthrosis
Congenital pulmonary alveolar proteinosis,Other names: Congenital PAP;  Pulmonary alveolar proteinosis;  congenital,diseases/4582/congenital-pulmonary-alveolar-proteinosis
Congenital pulmonary artery branch stenosis,,diseases/4589/congenital-pulmonary-artery-branch-stenosis
Congenital pulmonary lymphangiectasia,Other names: CPL;  Lymphangiectasia pulmonary congenital;  Lymphangiomatosis pulmonary;  Pulmonary cystic lymphangiectasis,diseases/9900/congenital-pulmonary-lymphangiectasia
Congenital radioulnar synostosis,Other names: Radial-ulnar synostosis;  Radio-ulnar synostosis;  Radioulnar synostosis,diseases/10876/congenital-radioulnar-synostosis
Congenital rubella,Other names: Congenital rubella syndrome;  CRS;  Rubella congenital,diseases/4744/congenital-rubella
Congenital stenosis of cervical medullary canal,,diseases/1504/congenital-stenosis-of-cervical-medullary-canal
Congenital sucrase-isomaltase deficiency,Other names: Congenital sucrose-isomaltase malabsorption;  CSID;  Disaccharide intolerance;  1;  SI deficiency;  Sucrase-isomaltase deficiency;  congenital;  Sucrose intolerance congenital;  Sucrose-isomaltase malabsorption;  congenital,diseases/7710/congenital-sucrase-isomaltase-deficiency
Congenital thrombotic thrombocytopenic purpura,Other names: Microangiopathic hemolytic anemia;  Microangiopathic hemolytic anemia;  congenital;  Schulman-Upshaw syndrome;  Thrombotic microangiopathy;  familial;  Thrombotic thrombocytopenic purpura;  congenital;  Thrombotic thrombocytopenic purpura;  familial;  TTP;  congenital;  Upshaw factor;  deficiency of;  Upshaw-Schulman syndrome;  USS,diseases/9430/congenital-thrombotic-thrombocytopenic-purpura
Congenital torticollis,Other names: Congenital muscular torticollis;  Torticollis;  congenital,diseases/4908/congenital-torticollis
Congenital toxoplasmosis,Other names: Mother-to-child transmission of toxoplasmosis;  Toxoplasma embryofetopathy;  Toxoplasma embryopathy,diseases/10326/congenital-toxoplasmosis
Congenital tracheal stenosis,Other names: Tracheobronchial stenosis;  congenital,diseases/12008/congenital-tracheal-stenosis
Congenital tracheomalacia,Other names: Congenital major airway collapse;  Tracheomalacia;  congenital;  Type 1 tracheomalacia,diseases/10515/congenital-tracheomalacia
Congenital unilateral pulmonary hypoplasia,,diseases/1507/congenital-unilateral-pulmonary-hypoplasia
Congenital vagal hyperreflexivity,,diseases/1508/congenital-vagal-hyperreflexivity
Congenital varicella syndrome,Other names: Fetal effects of Chickenpox;  Fetal effects of varicella zoster virus;  Fetal varicella infection;  Fetal varicella zoster syndrome;  Varicella Embryopathy;  Varicella virus antenatal infection,diseases/45/congenital-varicella-syndrome
Congenital vertical talus,Other names: Congenital convex pes valgus;  CVT;  Pes valgus;  congenital convex;  Rocker bottom foot;  Rocker-bottom foot deformity;  Vertical talus;  Vertical talus;  congenital,diseases/5488/congenital-vertical-talus
Congenital Zika syndrome,Other names: Zika syndrome,diseases/13441/congenital-zika-syndrome
Congenitally corrected transposition of the great arteries,Other names: Congenitally corrected transposition of the great vessels;  Transposition of the great arteries;  congenitally corrected;  Transposition of the great vessels;  congenitally corrected,diseases/1544/congenitally-corrected-transposition-of-the-great-arteries
Conjunctival melanoma,,diseases/10744/conjunctival-melanoma
Conjunctivitis with Pseudomembrane,,diseases/8446/conjunctivitis-with-pseudomembrane
Conotruncal heart malformations,Other names: Conotruncal cardiac defects;  CTHM,diseases/8189/conotruncal-heart-malformations
Continuous spike-wave during slow sleep syndrome,Other names: Continuous spikes and waves during sleep;  Continuous spikes and waves during slow-wave sleep;  CSWS;  CSWSS syndrome;  Epileptic encephalopathy with continuous spike-and-wave during slow sleep,diseases/1513/continuous-spike-wave-during-slow-sleep-syndrome
Conversion disorder,Other names: FND;  Functional movement disorder;  Functional neurological disorder,diseases/6191/conversion-disorder
Convulsions benign familial neonatal dominant form,Other names: Autosomal dominant form of benign neonatal seizures;  Benign familial neonatal convulsions;  Benign familial neonatal seizures,diseases/1519/convulsions-benign-familial-neonatal-dominant-form
"Convulsions, benign familial infantile, 1",Other names: Benign familial infantile convulsions syndrome;  Benign infantile familial convulsions;  BFIC;  BFIC1;  BFIS1;  Seizures;  benign familial infantile;  1,diseases/856/convulsions-benign-familial-infantile-1
"Copper deficiency, familial benign",Other names: Familial benign copper deficiency;  Familial benign hypocupremia,diseases/1522/copper-deficiency-familial-benign
CoQ-responsive OXPHOS deficiency,,diseases/10240/coq-responsive-oxphos-deficiency
Cor biloculare,,diseases/6193/cor-biloculare
Cor triatriatum,Other names: Triatrial heart,diseases/6194/cor-triatriatum
Cor triatriatum dexter,Other names: Cor triatriatum dextrum;  Divided right atrium,diseases/12483/cor-triatriatum-dexter
Cor triatriatum sinister,Other names: Cor triatriatum sinistrum;  Divided left atrium,diseases/12484/cor-triatriatum-sinister
Cormier Rustin Munnich syndrome,,diseases/1523/cormier-rustin-munnich-syndrome
Cornea guttata with anterior polar cataract,Other names: Familial congenital cornea guttata with anterior polar cataracts (type),diseases/9507/cornea-guttata-with-anterior-polar-cataract
Corneal crystals myopathy neuropathy,,diseases/1526/corneal-crystals-myopathy-neuropathy
Corneal dystrophy and perceptive deafness,Other names: CDPD;  Congenital corneal dystrophy;  progressive sensorineural deafness;  Corneal dystrophy and sensorineural deafness;  Harboyan syndrome,diseases/1529/corneal-dystrophy-and-perceptive-deafness
Corneal dystrophy Avellino type,Other names: Avellino corneal dystrophy;  CDA;  Combined granular-lattice corneal dystrophies;  Granular and lattice corneal dystrophies;  Granular corneal dystrophy type 2;  Granular-lattice (Avellino) corneal dystrophy,diseases/9278/corneal-dystrophy-avellino-type
Corneal dystrophy crystalline of Schnyder,Other names: SCCD;  Schnyder corneal dystrophy;  Schnyder crystalline corneal dystrophy,diseases/9277/corneal-dystrophy-crystalline-of-schnyder
Corneal dystrophy of Bowman layer type 1,Other names: CDB1;  CDRB;  Corneal dystrophy geographic;  Corneal dystrophy Reis Bucklers type;  RBCD;  Reis Bucklers corneal dystrophy;  Reis Bucklers dystrophy,diseases/9276/corneal-dystrophy-of-bowman-layer-type-1
Corneal dystrophy pigmentary anomaly malabsorption,,diseases/1530/corneal-dystrophy-pigmentary-anomaly-malabsorption
Corneal dystrophy Thiel Behnke type,Other names: CDB2;  CDTB;  Corneal dystrophy honeycomb shaped;  Corneal dystrophy of the Bowman layer type 2;  TBCD;  Thiel Behnke corneal dystrophy,diseases/9275/corneal-dystrophy-thiel-behnke-type
Corneal endothelial dystrophy type 2,Other names: CHED2;  Congenital hereditary endothelial dystrophy of the cornea;  Corneal dystrophy;  congenital hereditary endothelial;  Maumenee corneal dystrophy,diseases/6196/corneal-endothelial-dystrophy-type-2
"Corneal hypesthesia, familial",Other names: Familial trigeminal anesthesia;  Trigeminal anesthesia;  familial,diseases/10034/corneal-hypesthesia-familial
Corneal neuropathic disease,Other names: Corneal neuralgia;  Keratoneuralgia;  Ocular Neuropathic Pain Syndrome,diseases/13487/corneal-neuropathic-disease
Cornelia de Lange syndrome,Other names: Brachmann de Lange syndrome;  CDLS;  De Lange syndrome;  Typus degenerativus amstelodamensis,diseases/10109/cornelia-de-lange-syndrome
Corneodermatoosseous syndrome,Other names: CDO syndrome;  Corneal dystrophy epithelial and short stature;  Corneal dystrophy;  epithelial;  with skin and skeletal changes;  Stern Lubinsky Durrie syndrome,diseases/1531/corneodermatoosseous-syndrome
"Coronal synostosis, syndactyly and jejunal atresia",Other names: Asymmetrical coronal synostosis;  cutaneous syndactyly of the fingers and toes;  and jejunal atresia,diseases/1532/coronal-synostosis-syndactyly-and-jejunal-atresia
Coronaro-cardiac fistula,,diseases/1533/coronaro-cardiac-fistula
Coronary arteries congenital malformation,,diseases/1534/coronary-arteries-congenital-malformation
Coronary artery aneurysm,,diseases/6200/coronary-artery-aneurysm
Corpus callosum agenesis,Other names: Agenesis of the corpus callosum;  Isolated corpus callosum agenesis,diseases/1535/corpus-callosum-agenesis
Corpus callosum agenesis double urinary collecting,Other names: Ben Ari-Shuper-Mimouni syndrome;  Corpus callosum agenesis - double urinary collecting system;  Corpus callosum agenesis-double urinary collecting system syndrome;  OBSOLETE: Corpus callosum agenesis-double urinary collecting system-trigonocephaly syndrome,diseases/1536/corpus-callosum-agenesis-double-urinary-collecting
Corpus callosum agenesis of blepharophimosis Robin type,,diseases/1538/corpus-callosum-agenesis-of-blepharophimosis-robin-type
Corpus callosum dysgenesis cleft spasm,,diseases/1541/corpus-callosum-dysgenesis-cleft-spasm
Corpus callosum dysgenesis hypopituitarism,,diseases/1542/corpus-callosum-dysgenesis-hypopituitarism
Corpus callosum dysgenesis X-linked recessive,,diseases/1543/corpus-callosum-dysgenesis-x-linked-recessive
Cortada Koussef Matsumoto syndrome,,diseases/1546/cortada-koussef-matsumoto-syndrome
Cortes Lacassie syndrome,,diseases/1547/cortes-lacassie-syndrome
Cortical blindness-intellectual disability-polydactyly syndrome,,diseases/1548/cortical-blindness-intellectual-disability-polydactyly-syndrome
Cortical defects wormian bones and dentinogenesis imperfecta,,diseases/10290/cortical-defects-wormian-bones-and-dentinogenesis-imperfecta
Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation,Other names: Cortical dysplasia;  complex;  with other brain malformations 1,diseases/13032/cortical-dysgenesis-with-pontocerebellar-hypoplasia-due-to-tubb3-mutation
Corticosteroid-binding globulin deficiency,Other names: CBG deficiency;  Transcortin deficiency,diseases/13101/corticosteroid-binding-globulin-deficiency
Corticosteroid-sensitive aseptic abscesses,Other names: Aseptic abscesses syndrome;  Aseptic systemic abscesses;  Disseminated aseptic abscesses,diseases/10946/corticosteroid-sensitive-aseptic-abscesses
Cortisone reductase deficiency,Other names: 11-alpha beta-hydroxysteroid dehydrogenase type I deficiency of;  HSD 11b1 deficiency,diseases/9882/cortisone-reductase-deficiency
